Frequency_Hz,Magnitude_dB,Phase_deg,Coherence
9.8138,58.3075,-172.08,0.9758
9.9030,58.3545,-173.23,0.9644
9.9923,58.4656,-172.50,0.9663
10.0815,58.3302,-170.20,0.9711
10.1707,58.1950,-170.82,0.9785
10.2599,58.4896,-169.31,0.9848
10.3491,58.3601,-166.06,0.9679
10.4383,57.7583,-168.12,0.9627
10.5276,57.7882,-172.44,0.9671
10.6168,57.7355,-171.87,0.9475
10.7060,57.5803,-169.93,0.9565
10.7952,57.3683,-173.08,0.9528
10.8844,57.6381,-175.88,0.9460
10.9736,57.9562,-175.14,0.9523
11.0629,58.4652,-177.32,0.9631
11.1521,59.2434,-170.56,0.9655
11.2413,58.5665,-165.27,0.9722
11.3305,57.6630,-165.07,0.9706
11.4197,56.7485,-168.46,0.9641
11.5089,56.9150,-174.05,0.9501
11.5982,57.3474,-177.02,0.9630
11.6874,57.8893,-182.12,0.9664
11.7766,59.1387,-183.42,0.9465
11.8658,60.1592,-174.98,0.9468
11.9550,59.8279,-165.76,0.9359
12.0442,58.9966,-162.22,0.9568
12.1335,58.8159,-162.22,0.9627
12.2227,57.9862,-162.74,0.9400
12.3119,57.6009,-167.87,0.9373
12.4011,58.0905,-169.17,0.9053
12.4903,58.1780,-166.34,0.9198
12.5795,58.5503,-169.50,0.9251
12.6688,59.0396,-165.56,0.9110
12.7580,58.9025,-163.69,0.9368
12.8472,58.6707,-156.39,0.9129
12.9364,56.9341,-152.56,0.9027
13.0256,56.9270,-158.02,0.9342
13.1148,57.2225,-165.96,0.8222
13.2041,56.9772,-164.36,0.8204
13.2933,56.6790,-168.41,0.8491
13.3825,58.0269,-168.80,0.9262
13.4717,58.3083,-167.77,0.9529
13.5609,58.7783,-169.07,0.9128
13.6501,58.2969,-155.78,0.8018
13.7393,57.5706,-151.73,0.7829
13.8286,56.7342,-146.15,0.8090
13.9178,56.9229,-157.16,0.8279
14.0070,57.7937,-164.38,0.8405
14.0962,56.3991,-172.22,0.7791
14.1854,56.7377,-164.86,0.8170
14.2746,57.4659,-166.30,0.8355
14.3639,56.2036,-161.61,0.5786
14.4531,55.9402,-162.71,0.6259
14.5423,56.0285,-157.11,0.7096
14.6315,57.9244,-143.35,0.7510
14.7207,55.0173,-153.96,0.6388
14.8099,54.0407,-174.05,0.6411
14.8992,55.4414,-163.91,0.7213
14.9884,55.8039,-150.24,0.7834
15.0776,56.5825,-151.38,0.8556
15.1668,56.9076,-155.88,0.8439
15.2560,56.0372,-161.15,0.8373
15.3452,55.6123,-153.20,0.8397
15.4345,55.0919,-155.39,0.7784
15.5237,54.9785,-167.12,0.7250
15.6129,56.1950,-175.04,0.7530
15.7021,56.7187,-168.36,0.7838
15.7913,56.0749,-165.37,0.8142
15.8805,56.3977,-166.34,0.7824
15.9698,57.3134,-170.59,0.7908
16.0590,58.0645,-169.70,0.7887
16.1482,57.4261,-167.40,0.7515
16.2374,58.4470,-159.98,0.7834
16.3266,57.5702,-153.59,0.7309
16.4158,57.5910,-156.23,0.8480
16.5051,57.4644,-162.19,0.8871
16.5943,58.5933,-165.49,0.8908
16.6835,57.9828,-157.68,0.8867
16.7727,57.6029,-163.20,0.8579
16.8619,58.3682,-161.90,0.8478
16.9511,58.4646,-158.34,0.8777
17.0404,58.6352,-155.53,0.9474
17.1296,58.2815,-153.30,0.9549
17.2188,58.1919,-153.33,0.9452
17.3080,57.7554,-148.03,0.8775
17.3972,55.9628,-148.13,0.8053
17.4864,55.4519,-155.16,0.8442
17.5757,55.8225,-157.02,0.8599
17.6649,55.4206,-167.07,0.8139
17.7541,57.3692,-170.62,0.8115
17.8433,58.6145,-164.19,0.8101
17.9325,58.4927,-161.62,0.8932
18.0217,58.7573,-159.46,0.9406
18.1110,58.5199,-155.13,0.8916
18.2002,58.3808,-153.93,0.8736
18.2894,58.4107,-157.04,0.8754
18.3786,58.7442,-153.77,0.8608
18.4678,58.4816,-148.28,0.8652
18.5570,58.0302,-147.16,0.8716
18.6463,57.0125,-148.82,0.8366
18.7355,57.0437,-156.06,0.8443
18.8247,58.0047,-158.22,0.8845
18.9139,57.4040,-155.03,0.8178
19.0031,57.4354,-165.96,0.8307
19.0923,59.3871,-165.38,0.8342
19.1816,60.5473,-155.50,0.8919
19.2708,60.1217,-146.36,0.9314
19.3600,59.0379,-145.87,0.8596
19.4492,59.6095,-149.20,0.9248
19.5384,58.9867,-142.48,0.8859
19.6276,58.0929,-145.97,0.8016
19.7169,59.3170,-147.37,0.8508
19.8061,59.4280,-139.64,0.8488
19.8953,58.5004,-139.78,0.8300
19.9845,59.1526,-138.90,0.8756
20.0737,58.2223,-130.71,0.8214
20.1629,54.5977,-137.92,0.4972
20.2522,56.8593,-150.74,0.6441
20.3414,58.1853,-145.66,0.7282
20.4306,56.4649,-133.89,0.4976
20.5198,56.7850,-155.79,0.4604
20.6090,58.7708,-156.68,0.5786
20.6982,59.8755,-148.67,0.6080
20.7875,57.9305,-130.71,0.6131
20.8767,55.7328,-140.10,0.5500
20.9659,57.3344,-158.82,0.7625
21.0551,59.3826,-151.26,0.7997
21.1443,59.1514,-144.85,0.6588
21.2335,57.4285,-127.38,0.3429
21.3228,57.0433,-136.67,0.4670
21.4120,57.9136,-142.57,0.6515
21.5012,57.8198,-143.93,0.5391
21.5904,57.9466,-141.96,0.4138
21.6796,58.0415,-134.52,0.3557
21.7688,56.7763,-156.00,0.2845
21.8581,59.6200,-146.31,0.6234
21.9473,57.6510,-139.56,0.5724
22.0365,55.8536,-152.05,0.4790
22.1257,57.7076,-155.98,0.6678
22.2149,57.4809,-161.27,0.6038
22.3041,59.1559,-167.55,0.5369
22.3934,60.0801,-146.07,0.6272
22.4826,56.6361,-146.08,0.5723
22.5718,58.1103,-168.44,0.6291
22.6610,60.6293,-153.48,0.6430
22.7502,58.0441,-142.15,0.5336
22.8394,57.7071,-154.62,0.4939
22.9287,58.3813,-147.99,0.4398
23.0179,57.6219,-133.39,0.4982
23.1071,55.5222,-153.60,0.4657
23.1963,60.1597,-156.78,0.7387
23.2855,60.3761,-143.53,0.7750
23.3747,59.4175,-144.12,0.7274
23.4640,59.4096,-140.39,0.6864
23.5532,57.8348,-137.49,0.7415
23.6424,58.3950,-150.75,0.7742
23.7316,59.2287,-144.71,0.7353
23.8208,58.1981,-142.55,0.6836
23.9100,59.3619,-145.30,0.7056
23.9993,59.7693,-139.95,0.8120
24.0885,59.8217,-137.31,0.8433
24.1777,59.1921,-130.56,0.7874
24.2669,57.7577,-137.77,0.7958
24.3561,58.2946,-142.50,0.8097
24.4453,58.5453,-142.06,0.7964
24.5346,59.0660,-143.13,0.7778
24.6238,58.9308,-135.13,0.8466
24.7130,58.1375,-137.72,0.8948
24.8022,58.0743,-138.86,0.8746
24.8914,57.3233,-148.74,0.7763
24.9806,60.0560,-149.96,0.8416
25.0699,59.8715,-132.50,0.7470
25.1591,58.7144,-130.83,0.7827
25.2483,58.0253,-132.90,0.8203
25.3375,57.8381,-145.73,0.7069
25.4267,59.3441,-135.47,0.8002
25.5159,57.9272,-131.11,0.8428
25.6052,57.9404,-144.91,0.7305
25.6944,59.0355,-147.86,0.7219
25.7836,60.2072,-142.13,0.7275
25.8728,59.8233,-132.66,0.7385
25.9620,57.6637,-130.18,0.7259
26.0512,57.8380,-146.17,0.6444
26.1405,59.8947,-141.67,0.8021
26.2297,59.7715,-130.78,0.8409
26.3189,57.2568,-128.00,0.6274
26.4081,57.1468,-145.84,0.5440
26.4973,59.9981,-139.36,0.7748
26.5865,59.1974,-131.98,0.8450
26.6757,58.3555,-137.80,0.8189
26.7650,58.9081,-132.78,0.6726
26.8542,58.7229,-136.47,0.7510
26.9434,59.5529,-137.79,0.8401
27.0326,58.9068,-134.02,0.8191
27.1218,58.5260,-139.16,0.7425
27.2110,59.5826,-143.44,0.6517
27.3003,61.4941,-141.76,0.7500
27.3895,60.9055,-131.20,0.6906
27.4787,60.0359,-134.52,0.6581
27.5679,60.1979,-137.63,0.7320
27.6571,60.8629,-143.98,0.7095
27.7463,61.4944,-128.11,0.7061
27.8356,60.4563,-127.80,0.7573
27.9248,60.8188,-130.15,0.8147
28.0140,60.3623,-129.31,0.7170
28.1032,59.3281,-128.26,0.5833
28.1924,59.7867,-133.17,0.7604
28.2816,60.1431,-126.37,0.7356
28.3709,58.7600,-127.79,0.5889
28.4601,59.4935,-133.37,0.6837
28.5493,59.7079,-140.36,0.7242
28.6385,61.1091,-136.44,0.7461
28.7277,60.1835,-121.92,0.6018
28.8169,58.5177,-139.00,0.4244
28.9062,60.9564,-139.10,0.6500
28.9954,61.2582,-121.78,0.7266
29.0846,59.8889,-124.03,0.7397
29.1738,59.1291,-133.72,0.6739
29.2630,59.4865,-132.21,0.7345
29.3522,59.1547,-136.25,0.7425
29.4415,60.0798,-136.94,0.7715
29.5307,60.4165,-136.30,0.7547
29.6199,60.2004,-132.81,0.8375
29.7091,59.1480,-126.67,0.6902
29.7983,57.6729,-137.18,0.5222
29.8875,61.0168,-139.84,0.7500
29.9768,60.4333,-135.07,0.7609
30.0660,59.5074,-135.18,0.7289
30.1552,58.6833,-135.86,0.7380
30.2444,60.2393,-143.21,0.7686
30.3336,61.1394,-129.87,0.6759
30.4228,58.7183,-136.30,0.5419
30.5121,60.3301,-138.70,0.7875
30.6013,60.9843,-137.49,0.7797
30.6905,60.9906,-128.60,0.8339
30.7797,59.5543,-132.18,0.7201
30.8689,61.1329,-135.40,0.7045
30.9581,60.9325,-127.84,0.7475
31.0474,60.9904,-126.43,0.8205
31.1366,60.5319,-125.91,0.8542
31.2258,60.3533,-127.69,0.8544
31.3150,59.6006,-129.27,0.7978
31.4042,59.8820,-132.74,0.8074
31.4934,60.9071,-134.43,0.8816
31.5827,60.9577,-133.30,0.8895
31.6719,61.2309,-133.36,0.8725
31.7611,60.5737,-126.69,0.7772
31.8503,60.1890,-129.72,0.8307
31.9395,60.8773,-132.07,0.9254
32.0287,61.4680,-132.23,0.8872
32.1180,61.5556,-127.48,0.8719
32.2072,59.5008,-118.79,0.5956
32.2964,60.2654,-125.51,0.6867
32.3856,60.4221,-126.36,0.7716
32.4748,60.2865,-121.88,0.8014
32.5640,59.8527,-126.53,0.7991
32.6533,61.1481,-128.53,0.8210
32.7425,61.9643,-121.51,0.7455
32.8317,59.2330,-128.34,0.5532
32.9209,59.1963,-130.72,0.6100
33.0101,60.0897,-124.93,0.7730
33.0993,59.5164,-123.27,0.7347
33.1886,56.4769,-123.83,0.4228
33.2778,57.7158,-138.55,0.2191
33.3670,61.8970,-133.39,0.5911
33.4562,60.2482,-127.98,0.6179
33.5454,59.6081,-131.86,0.5052
33.6346,62.6381,-144.95,0.4784
33.7239,58.2783,-132.15,0.1573
33.8131,54.4074,-130.54,0.1252
33.9023,59.6351,-123.58,0.4672
33.9915,60.9935,-128.76,0.7940
34.0807,60.8763,-134.91,0.7170
34.1699,60.4140,-141.04,0.3881
34.2592,60.2727,-111.49,0.2659
34.3484,61.1087,-132.29,0.5586
34.4376,61.1830,-131.76,0.5473
34.5268,64.4045,-120.02,0.4402
34.6160,62.5711,-112.99,0.4319
34.7052,61.6759,-116.76,0.6370
34.7945,57.8655,-115.06,0.3072
34.8837,57.4920,-99.75,0.2112
34.9729,58.7014,-137.29,0.3759
35.0621,60.7202,-136.31,0.4645
35.1513,60.4536,-119.42,0.4200
35.2405,54.6664,-118.09,0.2159
35.3298,59.1200,-125.87,0.3131
35.4190,61.6977,-131.51,0.4912
35.5082,61.1305,-124.27,0.4277
35.5974,60.7355,-118.05,0.4993
35.6866,60.5543,-139.75,0.5818
35.7758,61.9098,-148.86,0.4648
35.8651,61.0733,-126.10,0.3678
35.9543,57.9978,-114.60,0.3433
36.0435,58.4762,-127.46,0.2549
36.1327,59.2184,-147.77,0.3005
36.2219,53.9932,-149.60,0.1097
36.3111,52.1678,-37.62,0.0473
36.4004,60.6006,-91.92,0.1838
36.4896,61.1349,-108.63,0.2567
36.5788,60.5800,-137.06,0.3465
36.6680,58.5576,-125.93,0.2094
36.7572,58.6347,-78.96,0.2488
36.8464,56.7449,-82.82,0.1723
36.9357,53.1978,-88.96,0.1092
37.0249,55.6804,-141.56,0.1964
37.1141,54.0112,-100.86,0.0994
37.2033,52.0906,-146.47,0.0969
37.2925,50.2456,-166.58,0.0533
37.3817,50.6109,-153.38,0.0587
37.4710,57.9916,-162.85,0.1783
37.5602,63.2609,-125.97,0.4023
37.6494,60.5010,-129.41,0.3295
37.7386,47.5427,-159.94,0.0189
37.8278,54.4314,-84.84,0.1180
37.9170,57.7521,-116.37,0.2491
38.0063,57.0669,-129.11,0.2229
38.0955,52.7819,-123.53,0.0600
38.1847,62.1127,-134.12,0.3155
38.2739,55.2730,-143.28,0.1137
38.3631,52.7640,-232.76,0.0594
38.4523,52.7405,-142.15,0.0869
38.5416,56.5026,-107.65,0.1610
38.6308,58.3175,-105.43,0.1873
38.7200,57.5528,-142.95,0.1642
38.8092,58.5930,-139.39,0.2935
38.8984,58.5338,-136.90,0.2702
38.9876,58.2837,-109.16,0.2888
39.0769,54.0857,-106.17,0.1564
39.1661,52.0443,-156.80,0.0659
39.2553,55.1171,-142.33,0.1699
39.3445,56.5773,-149.72,0.2353
39.4337,58.4112,-164.76,0.2666
39.5229,60.3902,-124.27,0.3537
39.6122,58.0555,-98.77,0.3171
39.7014,51.2377,-144.01,0.0472
39.7906,53.4287,-159.41,0.0759
39.8798,56.0915,-109.17,0.0743
39.9690,54.6977,-131.17,0.0623
40.0582,55.4910,-224.00,0.1201
40.1474,40.6723,-142.38,0.0063
40.2367,49.4267,-141.94,0.0523
40.3259,57.4801,-163.85,0.1539
40.4151,58.6910,-166.69,0.2094
40.5043,56.2848,-129.34,0.1790
40.5935,57.3413,-77.35,0.2226
40.6827,55.0152,-113.14,0.0973
40.7720,49.9578,-166.34,0.0235
40.8612,50.2305,-159.62,0.0298
40.9504,53.8282,-123.28,0.1298
41.0396,42.0660,-86.46,0.0086
41.1288,57.4309,-89.03,0.1309
41.2180,56.9601,-105.06,0.0764
41.3073,55.9143,-107.46,0.1048
41.3965,54.6870,-93.10,0.1095
41.4857,50.3448,-18.13,0.0393
41.5749,49.1745,11.75,0.0252
41.6641,44.0294,-3.42,0.0070
41.7533,44.5904,-84.63,0.0070
41.8426,59.1377,-156.29,0.1359
41.9318,55.6301,-276.53,0.0319
42.0210,47.2925,-319.62,0.0113
42.1102,54.4133,-409.41,0.0996
42.1994,56.3637,-430.85,0.1514
42.2886,55.4265,-511.37,0.1039
42.3779,51.6634,-475.80,0.0505
42.4671,57.1264,-424.19,0.1887
42.5563,57.9389,-382.19,0.2051
42.6455,54.4698,-363.98,0.0906
42.7347,47.0965,-541.17,0.0163
42.8239,47.7761,-428.84,0.0199
42.9132,52.0772,-394.09,0.0504
43.0024,54.9784,-426.40,0.0658
43.0916,54.9251,-450.96,0.0524
43.1808,51.5205,-501.30,0.0344
43.2700,45.9252,-464.17,0.0123
43.3592,53.9512,-341.95,0.0476
43.4485,62.3240,-459.39,0.1946
43.5377,62.1985,-464.66,0.2783
43.6269,59.1762,-447.80,0.1946
43.7161,46.4189,-414.46,0.0151
43.8053,48.8694,-393.75,0.0269
43.8945,49.3000,-473.55,0.0348
43.9838,55.1006,-503.99,0.1226
44.0730,57.3133,-492.06,0.1238
44.1622,47.9120,-503.55,0.0108
44.2514,52.4766,-549.60,0.0672
44.3406,50.8517,-571.44,0.0656
44.4298,46.4646,-515.35,0.0331
44.5191,38.6641,-483.93,0.0017
44.6083,54.4987,-657.02,0.0578
44.6975,47.8110,-723.60,0.0276
44.7867,49.1350,-881.03,0.0182
44.8759,57.9163,-866.82,0.1487
44.9651,57.7611,-898.43,0.0973
45.0544,54.2703,-905.69,0.0558
45.1436,49.8325,-826.29,0.0289
45.2328,54.9805,-747.16,0.0964
45.3220,45.7618,-911.10,0.0122
45.4112,55.3467,-941.72,0.0511
45.5004,44.4146,-853.96,0.0047
45.5897,56.3860,-817.26,0.0801
45.6789,54.2967,-797.97,0.0817
45.7681,53.0857,-945.46,0.0597
45.8573,57.4135,-1035.57,0.1077
45.9465,61.0325,-1052.31,0.2783
46.0357,57.6711,-1103.97,0.1093
46.1250,56.6765,-1026.90,0.1394
46.2142,57.1016,-1010.91,0.1390
46.3034,53.4011,-1131.45,0.0578
46.3926,58.7231,-1153.69,0.1356
46.4818,55.0669,-1147.18,0.0598
46.5710,50.0217,-1127.05,0.0167
46.6603,52.6372,-1232.03,0.0810
46.7495,54.4338,-1293.41,0.1562
46.8387,56.5301,-1274.15,0.1211
46.9279,52.7401,-1256.94,0.0571
47.0171,51.6869,-1179.70,0.0509
47.1063,50.6872,-1172.04,0.0495
47.1956,50.7323,-1218.91,0.0353
47.2848,47.3496,-1257.04,0.0247
47.3740,47.5362,-1090.74,0.0525
47.4632,52.3610,-1093.49,0.0983
47.5524,49.1129,-1042.88,0.0373
47.6416,48.6814,-1038.59,0.0150
47.7309,58.0121,-1073.42,0.1263
47.8201,58.3604,-1137.42,0.2041
47.9093,53.1821,-1179.54,0.0988
47.9985,40.7651,-1180.40,0.0046
48.0877,52.9787,-1301.04,0.0705
48.1769,47.2802,-1207.56,0.0113
48.2662,44.3377,-1108.53,0.0052
48.3554,54.3872,-1271.56,0.0537
48.4446,52.0893,-1175.26,0.0481
48.5338,57.0140,-1138.25,0.1739
48.6230,39.4217,-1002.03,0.0029
48.7122,50.3260,-1003.29,0.0274
48.8015,60.8943,-913.91,0.2326
48.8907,53.7600,-981.29,0.0681
48.9799,50.9569,-1064.41,0.0741
49.0691,36.3557,-1004.67,0.0024
49.1583,43.6721,-984.14,0.0090
49.2475,49.4565,-1096.99,0.0340
49.3368,49.1968,-1036.28,0.0417
49.4260,52.3902,-1018.75,0.1307
49.5152,39.4914,-1171.52,0.0042
49.6044,49.6417,-1249.61,0.0364
49.6936,48.1254,-1164.95,0.0250
49.7828,46.9684,-1080.00,0.0108
